size, seq_time,th_time_1,th_time_2,th_time_4,th_time_8,th_time_12,th_time_16,th_time_20,th_time_24,th_time_28,th_time_32,ff_time_1,ff_time_2,ff_time_4,ff_time_8,ff_time_12,ff_time_16,ff_time_20,ff_time_24,ff_time_28,ff_time_32,
500, 258.80,329.50,220.30,900.50,9717.40,15537.70,27090.00,20632.30,48397.50,76174.10,81713.30,448.40,7248.10,5728.00,4496.50,6305.90,13788.00,21014.70,34204.10,48162.30,99666.00,
1000, 1119.70,1231.80,771.10,633.30,6652.10,11974.60,24999.10,37396.30,67675.90,74314.20,85461.60,1771.40,2454.10,6287.60,6316.50,10307.40,13194.90,18870.30,18574.00,36930.50,100372.10,
5000, 33481.10,34225.70,19394.70,10524.30,9200.40,11928.00,19858.40,36153.70,45600.40,52677.70,65883.80,34573.70,20185.10,15081.20,15384.10,19319.60,17579.40,26498.00,38062.90,47937.40,67084.10,
10000, 132659.20,133654.30,70750.40,45691.10,23955.70,23889.50,30699.00,39142.70,49151.80,56049.40,64091.60,132362.30,81509.10,47475.20,28361.90,29334.10,33785.10,34863.90,36065.50,36732.40,65755.80,
15000, 301609.41,298895.81,179314.00,97825.60,51368.10,42142.70,43562.50,55794.40,60233.80,69890.10,78519.50,303730.59,188117.00,107690.50,61851.70,49987.90,49717.60,53170.40,54002.00,47804.60,70920.10,
20000, 532504.69,531940.19,289073.91,151334.09,93561.00,71874.90,68020.80,86732.00,83802.80,91800.40,101685.30,532749.12,326569.00,186655.70,100897.20,80745.10,74857.70,76447.30,70108.60,76629.30,112622.60,
30000, 1195901.88,1200612.62,628925.62,393684.69,207133.09,158261.20,139134.20,142322.91,169168.50,163715.00,163234.09,1199206.38,714582.50,411174.81,211068.41,161145.09,136697.70,138434.80,139566.70,155165.91,188237.00,
50000, 3337467.75,3300422.75,1791217.62,1086711.50,561521.69,436594.50,366772.41,364453.91,371049.41,410920.59,424091.41,3324987.50,1965435.25,1105630.50,558837.88,417445.19,371554.59,354086.91,342140.50,393579.91,511594.31,
size, seq_time,th_time_1,th_time_2,th_time_4,th_time_8,th_time_12,th_time_16,th_time_20,th_time_24,th_time_28,th_time_32,ff_time_1,ff_time_2,ff_time_4,ff_time_8,ff_time_12,ff_time_16,ff_time_20,ff_time_24,ff_time_28,ff_time_32,
500, 249.20,348.40,249.70,401.80,7509.00,14331.30,28390.70,30844.00,60435.90,83992.10,94696.20,483.90,2468.90,2840.00,4961.20,15058.90,15332.70,14219.80,38008.80,40935.30,96009.00,
1000, 1179.10,1187.90,821.20,943.70,6301.00,13385.20,28378.70,40092.40,45905.30,79830.70,90718.20,1752.80,2705.20,3101.20,9815.00,12060.70,17439.40,20049.60,33074.90,43563.70,101356.80,
5000, 33273.20,33772.70,17516.20,11291.10,10459.20,14355.40,25593.30,30221.50,46872.90,56755.00,69485.90,34505.10,22160.10,14943.70,16495.00,11859.50,22727.10,18543.20,33424.40,40692.30,62343.30,
10000, 132312.80,135961.80,76040.90,40562.30,23704.30,21278.60,24810.00,40011.10,54909.40,53518.10,67926.60,134508.00,81179.40,48899.30,26867.60,31730.40,30230.70,35770.70,33489.80,43163.60,72832.50,
15000, 297938.91,299295.09,161471.70,93947.00,51973.70,40555.40,43503.10,48901.60,64936.10,74607.40,78018.70,298996.81,182399.50,108729.70,62045.10,47705.60,48406.60,46817.20,50550.70,52510.00,72618.50,
20000, 528644.31,544951.62,301504.50,161648.91,96616.00,78949.20,72763.40,86757.50,97291.50,94435.80,98885.10,532338.88,324409.81,180588.91,100539.40,78719.20,75961.30,77975.00,69129.20,75737.00,89080.60,
30000, 1199453.50,1206301.88,692184.00,403188.31,211764.50,159395.20,145080.91,149653.59,166051.00,166228.20,162021.09,1193511.00,711684.31,404516.50,216733.70,168466.09,146545.30,136230.70,145583.80,150029.80,181080.59,
50000, 3321097.50,3358300.00,1800886.00,1086159.50,582735.88,421141.00,374985.09,349811.81,386675.50,412165.50,421986.59,3319702.50,1943657.25,1125512.50,563074.88,419164.50,366640.59,352450.41,341285.31,402264.09,540257.88,
